id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-3815269-A,Slide calculator for determining selected periods of time ,S Roselli,S Roselli,1971-12-01,1972-11-30,1974-06-11,1974-06-11,https://patents.google.com/patent/US3815269A/en,https://patentimages.storage.googleapis.com/5b/da/13/6d7cc1a8bf23e1/US3815269-drawings-page-2.png
US-2861739-A,perforated record making adding machine ,,,,,1958-11-25,1958-11-25,https://patents.google.com/patent/US2861739A/en,https://patentimages.storage.googleapis.com/5f/c5/42/ee01b03d598864/US2861739-drawings-page-1.png
US-2248257-A,Register actuating device ,,,,,1941-07-08,1941-07-08,https://patents.google.com/patent/US2248257A/en,https://patentimages.storage.googleapis.com/cd/08/00/3ecfac25017056/US2248257-drawings-page-1.png
US-3095143-A,Calculating machine ,Addmaster Corp,"Kenneth F Oldenburg, Bryan F Kuhne, Fazio Dominick",1961-09-25,1961-09-25,1963-06-25,1963-06-25,https://patents.google.com/patent/US3095143A/en,https://patentimages.storage.googleapis.com/e7/a3/9c/19b329d39e305c/US3095143-drawings-page-1.png
US-1878125-A,Accounting machine ,Ibm,Frederick L Fuller,1927-11-19,1927-11-19,1932-09-20,1932-09-20,https://patents.google.com/patent/US1878125A/en,https://patentimages.storage.googleapis.com/bf/fe/05/6bdd0ad2d7a723/US1878125-drawings-page-1.png
US-2146283-A,Card punching machine ,Ibm,James W Bryce,1935-06-21,1935-06-21,1939-02-07,1939-02-07,https://patents.google.com/patent/US2146283A/en,https://patentimages.storage.googleapis.com/8d/66/cb/19313d98acb7ca/US2146283-drawings-page-1.png
US-2228554-A,Abacus ,Charles A Brown,Charles A Brown,1939-07-11,1939-07-11,1941-01-14,1941-01-14,https://patents.google.com/patent/US2228554A/en,https://patentimages.storage.googleapis.com/20/81/32/dcb67291338a68/US2228554-drawings-page-1.png
US-2611539-A,Short-cut multiplying machine ,,,,,1952-09-23,1952-09-23,https://patents.google.com/patent/US2611539A/en,https://patentimages.storage.googleapis.com/81/45/09/5d5a1b580f2846/US2611539-drawings-page-1.png
US-2399917-A,Calculating machine ,,,,,1946-05-07,1946-05-07,https://patents.google.com/patent/US2399917A/en,https://patentimages.storage.googleapis.com/69/18/9f/dfbe6120a79ed2/US2399917-drawings-page-1.png
US-2216636-A,Calculating machine ,,,,,1940-10-01,1940-10-01,https://patents.google.com/patent/US2216636A/en,https://patentimages.storage.googleapis.com/ec/c6/c8/ffd904821da23a/US2216636-drawings-page-1.png
